Word|Kimchi Rank|TOPIK POS|TOPIK Definition|TOPIK Level|Yonsei Book
보내다|107|동||A|1-1.csv
다르다1|277|형||A|1-1.csv
육교|||||1-1.csv
막1|108|부|바로 지금|B|
물1|3106|명|바닷~|A|1-1.csv
교통1|3154|명|交通|A|1-1.csv
나가다|109|동||A|1-1.csv
만나다|195|동||A|1-1.csv
아래1|20423|명||A|1-1.csv
잡다1|110|동||A|2-1.csv
내다2|440|동|길을 ~|A|2-1.csv
복습|10239|명|復習|B|1-1.csv
보이다1|111|동|'보다'의 피동사|B|1-1.csv
쓰다1|898|동|글씨를 ~|A|1-1.csv
기다리다|194|동||A|1-1.csv
굉장히|112|부|宏壯-|B|
이것||대||A|1-1.csv
아르바이트하다|20318||||1-1.csv
지금3|113|명|只今|A|1-1.csv
이번1||명|-番|A|1-1.csv
책상1|1334|명|冊床|A|1-1.csv
안녕하다|117|형|安寧-|A|
길1|613|명|도로|A|1-1.csv
내일|574|명|來日|A|1-1.csv
중요하다2|118|형|重要-|A|2-1.csv
생활|828|명|生活|A|1-1.csv
식당|1073|명|食堂|A|1-1.csv
힘들다|119|형||A|1-2.csv
쓰다3||동|약을 ~|A|
노래1|7038|명||A|1-1.csv
번째|120|의|番-|B|
사이1|78720|명||A|
빵집|6382||||1-1.csv
들어오다|122|동||A|
우리나라|276|명||A|
수영2|2318|명|水泳|A|1-1.csv
얘기하다|123|동||A|
앉다|163|동||A|1-1.csv
요일|10899|명|曜日|A|1-1.csv
선생님|124|명|先生-|A|1-1.csv
손1|130|명|신체의 일부|A|2-1.csv
아침|198|명||A|1-1.csv
아빠|126|명||A|
시10||의|時|A|
걷다2|833|동|느릿느릿 ~|A|1-1.csv
죽다1|127|동|굶어 ~|A|
이야기|2680|명||A|1-1.csv
똑바로|1635|부||A|1-1.csv
부분1|128|명|部分|B|
사다|2495|동||A|1-1.csv
반갑다|645|형||A|1-1.csv
끝나다|129|동||A|1-1.csv
서다1|8073|동||A|2-1.csv
공부하다|749|동|工夫-|A|1-1.csv
마지막|131|명||A|2-1.csv
못4||부||A|
일본|54710|고|日本|A|1-1.csv
떨어지다|132|동||B|
읽다|205|동||A|1-1.csv
피곤하다|1129|형|疲困-|A|1-1.csv
예쁘다|133|형||A|1-1.csv
이제1|85211|부||A|
쉽다|185|형||A|1-1.csv
줄1|134|명|~로 감다|B|1-1.csv
물론1|1556|부|勿論|A|
자주1|34787|부||A|1-1.csv
얘2|136|감||C|
동안1|140|명|시간의 길이|A|
시작되다1|379|동|始作-|A|1-1.csv
그녀|137|대|-女|C|
일어나다|181|동||A|1-1.csv
여권2|2519|명|旅券|A|1-1.csv
머리1|138|명||A|
시장4||명|市場|A|
심심하다1|2537|형|지루하다|C|1-1.csv
꼭2|139|부|힘을 주는 모양|C|1-2.csv
무슨|21783|관||A|1-1.csv
팝콘|5490||||1-1.csv
찍다2|141|동|서류에 도장을 ~|A|1-1.csv
어렵다|177|형||A|1-1.csv
시작1|366|명|始作|A|1-1.csv
갖다1|142|동|가지다|B|3-1.csv
힘1|2041|명||A|
호수7|3217|명|湖水|B|1-1.csv
끝1|143|명||A|1-1.csv
나라1|7887|명||A|1-1.csv
열둘|||||1-1.csv
이유4|144|명|理由|B|
부르다1|260|동|이름을 ~|A|1-1.csv
영화관1|5033|명|映畵館|C|1-1.csv
따르다1|146|동|뒤를 ~|B|3-1.csv
자리1|166|명|~가 없다|A|
교수6|615|명|敎授|A|1-1.csv
없이|147|부||B|
쪽5||의|방향|A|
방학이|||||1-1.csv
엄청|148||||
얘기|1265|명|이야기|A|
골프장|6647|명|golf場|B|1-1.csv
고맙다1|150|형||A|1-1.csv
학생|193|명|學生|A|1-1.csv
재미있다|422|형||A|1-1.csv
믿다|152|동||B|
이름|827|명||A|1-1.csv
더럽다|1455|형||B|1-1.csv
첫|153|관||B|2-1.csv
내리다1|1006|동|눈이 ~|A|1-1.csv
