Word|Kimchi Rank|TOPIK POS|TOPIK Definition|TOPIK Level|Yonsei Book
혹시|188||||3-1
아02||감||A|
숙제를|||||1-1
느끼다|189||||
분08||의|10시 20~|A|
학기가|||||1-1
직접|190|부|直接|B|2-1
곧01||부||A|
시키다|245||||1-1
해보다|191||||
서로01||부||A|
피우다|2621||||1-1
듣다|192||||1-1
이거01||대||A|
카드를|||||1-1
어느|197||||1-1
방07||명|房|A|
눈이|||||1-1
아침|198|명||A|1-1
떠나다|362|동||A|1-1
게스트하우스|||||1-1
중국|199|고|中國|A|1-1
그래01||감||A|
저녁을|||||1-1
대표|200|명|代表|B|
아름답다|525|형||A|1-1
모두|450||||1-1
옆|201|명||A|1-1
끝01||명||A|
크림빵|||||1-1
하루|202||||2-1
입|368|명||A|2-1
방|375||||1-1
너|203||||
영화01||명|映畵|A|
빌리다|3587|동||B|1-1
재밌다|204|형|재미있다|C|
필요|88731|명|必要|A|
게임하다|4391||||1-1
정부|206||||
하늘01||명||A|
시간이|||||1-1
현재|208||||2-1
정말01||부|正-|A|
스물(스무)|||||1-1
사랑하다|209|동||A|
밥01||명|~을 먹다|A|
여기저기|1833|명||B|1-1
결국|210|명|結局|B|3-1
입다01||동|옷을 ~|A|
날씨|442||||1-1
새롭다|211|형||C|
네03||감||A|
실례지만|||||1-1
의원|213||||
그림01||명||A|
빨래하다|15354||||1-1
목소리|214|명||B|2-1
마시다|2086|동||A|1-1
내년|1742|명|來年|A|1-1
특히|215|부|特-|B|
치다02||동|얼굴을 ~|A|
문|850||||1-1
호응|216||||
혼자01||명||A|
남자|273||||1-1
너희|217|대||B|2-1
교수06||명|敎授|A|
토요일|3455|명|土曜日|A|1-1
제품|218||||
술01||명|~을 먹다|A|
학기|2064||||1-1
올라가다|219|동||A|1-1
사랑01||명||A|
여덟|2274|수||A|1-1
귀엽다|220|형||B|1-1
전화07||명|電話|A|
누굴|||||1-1
순간|221||||
돌아오다|225|동||A|1-1
여행을|||||1-1
크다|222||||1-1
가슴01||명||A|
지난달|5488|명||A|1-1
맛|223||||1-1
길다02||형|밤이 ~|A|
판|1930||||1-1
가족|224||||1-1
회사04||명|會社|A|
축하하다|634|동|祝賀-|A|1-1
회사|227||||1-1
맛01||명||A|
그림을|||||1-1
싫다|228||||
매우01||부||A|
끄다|12336||||1-1
미안하다|230|형|未安-|A|
오르다|1621|동||A|2-1
한식|83703||||1-1
당시|231||||
음식|251|명|飮食|A|1-1
독서를|||||1-1
후|232||||2-1
꼭03||부|반드시|A|
차|2573||||1-1
어린이|234||||
계획01||명|計劃|A|
조용하다|3261||||1-1
열심히|235|부|熱心-|A|2-1
계속04||부|繼續|A|
냉면|4599|명|冷麵|A|1-1
살짝|236||||
아내01||명||A|
둘(두)|||||1-1
잠깐|237|명||A|
가족01||명|家族|A|
물어보다|305|동||A|1-1
들다|238||||2-1
세01||관|~ 권|A|
약속이|||||1-1
돌아가다|239|동||A|
차06||명|車|A|
소풍을|||||1-1
어머니|240||||1-1
놀다01||동||A|
네|4928||||1-1
지키다|242||||1-1
도시03||명|都市|A|
운동화|4107|명|運動靴|A|1-1
확인하다|243|동|確認-|B|2-1
나이01||명||A|
사거리|||||1-1
고개|244||||
그리다02||동|그림을 ~|A|
여행사|9059|명|旅行社|B|1-1
억|247||||
배우다01||동||A|
케이크|1408||||1-1
뜻|248|명||B|
어02||감||A|
길다|2455||||1-1
항상|249|부|恒常|A|2-1
아래01||명||A|
여섯|1357|수||A|1-1
기억|250||||
그럼01||부|'그러면'의 준말|A|
댁|2681||||1-1
안녕|252|감|安寧|A|
저04||관|멀리 있는 대상|A|
운전하다|2310|동|運轉-|A|1-1
후보|253||||
배02||명|~를 띄우다|A|
걸리다|1087||||1-1
무섭다|255|형||B|
산01||명|山|A|
달다|438||||1-1
잠시|256|부|暫時|A|2-1
새06||관||A|
이거|52567||||1-1
비슷하다|257||||2-1
하지만|42491|부||A|2-1
왼쪽|664|명||A|1-1
나쁘다|258||||1-1
문05||명|門|A|
부모님|517|명|父母-|A|1-1
궁금하다|259||||3-1
꽃01||명||A|
베트남말|||||1-1
부르다|260||||1-1
그동안|469|명||A|3-1
이따가|31829|부||B|1-1
과정|262||||
갑자기|91787|부||A|2-1
사|18335||||1-1
빠지다|264||||
바람01||명|~이 불다|A|
방학하다|32860||||1-1
자체|265||||
노래01||명||A|
내려가다|591|동||A|1-1
옷|266||||1-1
공부01||명|工夫|A|
그제|2738||||1-1
살다|267||||1-1
분01||의|한 ~|A|
강|998||||1-1
아마|268||||
불01||명||A|
서양|4128|명|西洋|B|1-1
남다|270||||2-1
학년|289|명|學年|A|
친구를|||||1-1
가격|271||||3-1
신문10||명|新聞|A|
열다|345||||1-1
날|272||||
이해하다02||동|理解-|A|
셋(세)|||||1-1
가능하다|275|형|可能-|B|3-1
선생01||명|先生|A|
노래하다|2230|동||A|1-1
움직이다|278|동||B|
기분01||명|氣分|A|
마리|486||||1-1
죄송하다|279|형|罪悚-|A|
옷01||명||A|
들|3076||||1-1
원하다|280||||
꿈01||명||A|
어서|||||1-1
소식|281||||3-1
회의04||명|會議|A|
사진을|||||1-1
만큼|282|의||B|
이야기하다|533|동||A|
저쪽|1140|대||A|1-1
애|283||||
나무01||명||A|
축구|1483||||1-1
지|284||||
자다01||동||A|
정말|2035||||1-1
사진|285||||
걷다02||동|느릿느릿 ~|A|
글쎄요||감||B|1-1
새끼|286||||
이때||명||A|
바나나|5595|명|banana|A|1-1
맞추다|287||||3-1
물건|4069|명|物件|A|1-1
일기예보|||||1-1
다양하다|288||||3-1
발01||명|신체의 일부|A|
비빔밥|5181|명||A|1-1
나타나다|290|동||B|3-1
시작되다01||동|始作-|A|
저녁|402|명||A|1-1
얻다|291||||
둘01||수||A|
오른쪽|736|명||A|1-1
빠르다|293|형||A|1-1
설명하다|341|동|說明-|A|2-1
화요일|6901|명|火曜日|A|1-1
전화|294||||3-1
살04||의|한 ~|A|
풍선을|||||1-1
준비|295|명|準備|A|
음악01||명|音樂|A|
넷(네)|||||1-1
표정|296||||3-1
아프다|310|형||A|1-1
물|3106||||1-1
느낌|297|명||B|
적다02||형|경험이 ~|A|
표|1450||||1-1
선배|299|명|先輩|B|2-1
비01||명|~가 내리다|A|
딸기||명||A|1-1
가능성|300|명|可能性|B|3-1
고향02||명|故鄕|A|
알겠습니다|||||1-1
질문|301|명|質問|A|
놀라다|14899|동||A|3-1
스키장|10222|명|ski場|B|1-1
계획|302||||
울다01||동|울음을 ~|A|
자장면|13167|명|&중Zhajiangmian|A|1-1
모양|303||||2-1
은행02||명|銀行|A|
걸다|413||||1-1
선수|304||||
지내다01||동||A|
공책|6731||||1-1
훨씬|306|부||B|
결혼|1182|명|結婚|A|
고향|1580||||1-1
전혀|307||||
동생01||명||A|
맵다|3681|형||A|1-1
효과음|312||||
예06||감||A|
자전거|977|명|自轉車|A|1-1
국민|313|명|國民|B|
오후02||명|午後|A|
구|21859||||1-1
걱정|314|명||A|
아기01||명||A|
음력|9684||||1-1
안되다|315||||
아저씨|358|명||A|
해수욕장에|||||1-1
의미|316||||
옛날|617|명||A|2-1
어린이날|4684|명||B|1-1
말다|317||||2-1
달05||의||A|
그렇지만|37290|부||A|1-1
원|318||||1-1
참01||부|참으로|A|
잡수시다|67405|동||A|1-1
바라보다|319|동||B|
이곳|360|대||A|
장|349||||1-1
분|320||||1-1
딸01||명||A|
달|1048||||1-1
아유|321||||
병원02||명|病院|A|
출발하다|981|동|出發-|A|1-1
관심|322||||2-1
경찰04||명|警察|A|
비행기|915|명|飛行機|A|1-1
멈추다|323|동||B|
그러면|59619|부||A|2-1
주|1437||||1-1
대부분|324|명|大部分|B|
넓다|764|형||A|
오십||수|五十|A|1-1
멋지다|325|형||C|
시험03||명|試驗|A|
잘|7376||||1-1
기분|326||||
잠01||명||A|
가깝다|477|형||A|1-1
현장|327||||
건강03||명|健康|A|
젓가락|3273|명||A|1-1
나다|328||||2-1
