word,source_book
일어나다,1-1.csv
역,1-1.csv
크다,1-1.csv
바지,1-1.csv
건너편,1-1.csv
배우다,1-1.csv
복잡하다,1-1.csv
하와이,1-1.csv
칠,1-1.csv
운동장,1-1.csv
벌,1-1.csv
월요일,1-1.csv
어제,1-1.csv
와이셔츠,1-1.csv
중국말,1-1.csv
오,1-1.csv
이쪽,1-1.csv
기차,1-1.csv
끝나다,1-1.csv
지금,1-1.csv
쪽,1-1.csv
오후,1-1.csv
외할머니,1-1.csv
액세서리,1-1.csv
일찍,1-1.csv
한강공원,1-1.csv
자다,1-1.csv
싸다,1-1.csv
장소,1-1.csv
나라,1-1.csv
수업,1-1.csv
설날,1-1.csv
분,1-1.csv
그쪽,1-1.csv
약속을하다,1-1.csv
지난주,1-1.csv
스노보드,1-1.csv
도착하다,1-1.csv
놀다,1-1.csv
일본말,1-1.csv
가끔,1-1.csv
친절하다,1-1.csv
줄,1-1.csv
월,1-1.csv
선물을,1-1.csv
케냐,1-1.csv
말씀하시다,1-1.csv
이분,1-1.csv
오다,1-1.csv
면세점,1-1.csv
가지고,1-1.csv
좋다,1-1.csv
피시방,1-1.csv
점심을,1-1.csv
선물하다,1-1.csv
많다,1-1.csv
생선,1-1.csv
카페,1-1.csv
수단,1-1.csv
연필,1-1.csv
화장실,1-1.csv
나쁘다,1-1.csv
비싸다,1-1.csv
중이다,1-1.csv
선물,1-1.csv
단풍을,1-1.csv
동물원,1-1.csv
버스,1-1.csv
고맙다,1-1.csv
괜찮습니다,1-1.csv
뭐가,1-1.csv
노래방,1-1.csv
오전,1-1.csv
우산,1-1.csv
금년,1-1.csv
약,1-1.csv
누나,1-1.csv
눈사람,1-1.csv
민박집,1-1.csv
나,1-1.csv
시계,1-1.csv
계십시오,1-1.csv
코트,1-1.csv
어렵다,1-1.csv
찍다,1-1.csv
아홉,1-1.csv
어떻다,1-1.csv
안녕하십니까?,1-1.csv
사과,1-1.csv
콘도,1-1.csv
사무실,1-1.csv
맑다,1-1.csv
이야기,1-1.csv
이십,1-1.csv
주스,1-1.csv
저분,1-1.csv
학생식당,1-1.csv
드리다,1-1.csv
연락드리다,1-1.csv
여행,1-1.csv
세배하다,1-1.csv
농구,1-1.csv
뭘,1-1.csv
보내다,1-1.csv
다,1-1.csv
옷걸이,1-1.csv
춤을,1-1.csv
지역,1-1.csv
도서관,1-1.csv
녹차,1-1.csv
신발,1-1.csv
슬리퍼,1-1.csv
아이,1-1.csv
한국,1-1.csv
작년,1-1.csv
일요일,1-1.csv
그리고,1-1.csv
찾다,1-1.csv
약국,1-1.csv
기차표,1-1.csv
담배를,1-1.csv
벚꽃,1-1.csv
장미,1-1.csv
우동,1-1.csv
예습을,1-1.csv
충전기,1-1.csv
돌아오다,1-1.csv
묻다,1-1.csv
이를,1-1.csv
열,1-1.csv
산,1-1.csv
오토바이,1-1.csv
서울,1-1.csv
제일,1-1.csv
자루,1-1.csv
미술관,1-1.csv
금요일,1-1.csv
사다,1-1.csv
삼겹살,1-1.csv
주다,1-1.csv
주말,1-1.csv
빨리,1-1.csv
공항버스,1-1.csv
인사하다,1-1.csv
백화점,1-1.csv
기숙사,1-1.csv
생일축하,1-1.csv
살다,1-1.csv
누구,1-1.csv
외할아버지,1-1.csv
여자,1-1.csv
하다,1-1.csv
교과서,1-1.csv
춥다,1-1.csv
적다,1-1.csv
열하나,1-1.csv
파티,1-1.csv
힘들다,1-2.csv
횡단보도,1-2.csv
흐리다,1-2.csv
휴가,1-2.csv
휴일,1-2.csv
어휘,1-2.csv
휴대전화,1-2.csv
꼭,1-2.csv
회사원,1-2.csv
아흔,2-1.csv
매년,2-1.csv
쓸다,2-1.csv
시작하다,2-1.csv
개다,2-1.csv
밀리다,2-1.csv
공무원,2-1.csv
방석,2-1.csv
쌓다,2-1.csv
지나다,2-1.csv
발표하다,2-1.csv
직접,2-1.csv
서해,2-1.csv
항상,2-1.csv
한라산,2-1.csv
강아지,2-1.csv
등록금,2-1.csv
여성복,2-1.csv
메뉴,2-1.csv
기념품,2-1.csv
통화하다,2-1.csv
주변,2-1.csv
세다,2-1.csv
지내다,2-1.csv
점수,2-1.csv
뵙다,2-1.csv
원피스,2-1.csv
조깅하다,2-1.csv
버리다,2-1.csv
세상,2-1.csv
다치다,2-1.csv
참외,2-1.csv
비옷,2-1.csv
접시,2-1.csv
정리하다,2-1.csv
하늘색,2-1.csv
회색,2-1.csv
소화,2-1.csv
사귀다,2-1.csv
치료비,2-1.csv
최고,2-1.csv
부탁,2-1.csv
취소,2-1.csv
인출기,2-1.csv
송별회,2-1.csv
소화제,2-1.csv
계약하다,2-1.csv
선배,2-1.csv
배달시키다,2-1.csv
늘다,2-1.csv
버튼,2-1.csv
해산물,2-1.csv
늘,2-1.csv
택배,2-1.csv
찌다,2-1.csv
순서,2-1.csv
