Rank|Word
1860|구역
1861|지적하다
1862|저지르다
1863|얹다
1864|감추다
1865|시위
1866|순위
1867|늙다
1868|넷
1869|제작하다
1870|꿈꾸다
1871|집회
1872|추정되다
1873|돌려주다
1874|노인
1875|단순히
1876|노
1877|칭찬
1878|답변
1879|춤추다
1880|산업
1881|귤
1882|도저히
1883|주먹
1884|지난주
1885|퍼센트
1886|사망자
1887|개인
1888|애플
1889|출시하다
1890|탄핵
1891|추진하다
1892|유리
1893|완료
1894|짱
1895|친절하다
1896|대결
1897|경쟁
1898|창고
1899|트럭
1900|판정
1901|익다
1902|의문
1903|이익
1904|강제
1905|차갑다
1906|플랫폼
1907|재능
1908|구성되다
1909|애쓰다
1910|가난하다
1911|주문
1912|서류
1913|독자
1914|감각
1915|패스
1916|제작진
1917|엘리베이터
1918|뒤쪽
1919|제외하다
1920|자
1921|석
1922|떨어뜨리다
1923|독특하다
1924|규제
1925|지시
1926|의도
1927|세력
1928|설탕
1929|자연
1930|판
1931|나아가다
1932|답
1933|음성
1934|구독자
1935|최소
1936|홍콩
1937|쇼
1938|대규모
1939|고소하다
1940|문득
1941|장르
1942|센터
1943|태우다
1944|쫙
1945|맞이하다
1946|날카롭다
1947|권리
1948|파워
1949|등급
1950|모니터
1951|다치다
1952|디지털
1953|만족하다
1954|교실
1955|똑똑하다
1956|법적
1957|연휴
1958|씹다
1959|어느새
1960|말투
1961|한국인
1962|접근하다
1963|빨간색
1964|수십
1965|취미
1966|순식간
1967|현금
1968|출연하다
1969|물러나다
1970|캠프
1971|갖추다
1972|쫓다
1973|투자하다
1974|댄스
1975|털다
1976|주차장
1977|눈썹
1978|감싸다
1979|완성되다
1980|프레임
1981|원칙
1982|마음속
1983|여인
1984|안녕히
1985|체력
1986|폭력
1987|공급
1988|반도체
1989|과장
1990|커뮤니티
1991|차분하다
1992|처벌
1993|무렵
1994|운
1995|첫째
1996|행성
1997|후회하다
1998|상관
1999|흔히
2000|플라스틱
2001|즉시
2002|긴급
2003|날짜
2004|보상
2005|파트
2006|결혼식
2007|기반
2008|텐트
2009|뺏다
2010|신다
2011|신부
2012|투어
2013|유행
2014|다소
2015|스티커
2016|전부
2017|대답
2018|후배
2019|위치하다
2020|스팀
2021|도서관
2022|방역
2023|경쾌하다
2024|문자
2025|조심스럽다
2026|단점
2027|충전
2028|전남
2029|설치되다
2030|모레
2031|아이돌
2032|호주
2033|알바
2034|기뻐하다
2035|정말
2036|애매하다
2037|깨어나다
2038|갓
2039|코드
2040|제출하다
2041|힘
2042|해석
2043|감옥
2044|깎다
2045|안전
2046|한동안
2047|보스
2048|기관
2049|레드
2050|범위
2051|승객
2052|논의하다
2053|당국
2054|기타
2055|아프리카
2056|오픈
2057|박물관
2058|공유하다
2059|시도하다
2060|판매하다
2061|월드컵
2062|복도
2063|매번
2064|학기
2065|흙
2066|글자
2067|인연
2068|첫날
2069|팀장
2070|햄
2071|혜택
2072|살아남다
2073|당기다
2074|들려주다
2075|아시아
2076|패션
2077|실시간
2078|사귀다
2079|처하다
2080|제안하다
2081|음료
2082|사망하다
2083|여기다
2084|우
2085|불안
2086|마시다
2087|상담
2088|초반
2089|소파
2090|마련되다
2091|여왕
2092|멀어지다
2093|장사
2094|엉덩이
2095|컷
2096|쥐
2097|실내
2098|온갖
2099|다이어트
2100|시신
2101|흰색
2102|사항
2103|힘내다
2104|추위
2105|선장
2106|웬만하다
2107|되찾다
2108|소름
2109|베트남
2110|다루다
2111|비주얼
2112|모험
2113|곤란하다
2114|헷갈리다
2115|화성
2116|단단하다
2117|디저트
2118|잔잔하다
2119|컨텐츠
2120|와중
2121|부족
2122|과제
2123|노동자
2124|부자
2125|주방
2126|의무
2127|흠
2128|성분
2129|가위바위보
2130|영감
2131|안개
2132|비교
2133|핑크
2134|영업
2135|종종
2136|지옥
2137|법안
2138|입히다
2139|인력
2140|대신
2141|뿌리다
2142|시도
2143|너머
2144|특검
2145|행동하다
2146|수입
2147|응원
2148|채소
2149|복
2150|기르다
2151|우연히
2152|줄이다
2153|양파
2154|제거하다
2155|어마어마하다
2156|참고하다
2157|거절하다
2158|이웃
2159|일자리
2160|삼다
2161|터뜨리다
2162|마이
2163|뚜껑
2164|생물
2165|강화하다
2166|잊어버리다
2167|주의하다
2168|햇빛
2169|사흘
2170|스케줄
2171|명확하다
2172|합의
2173|분기
2174|셰프
2175|부담스럽다
2176|외모
2177|저것
2178|불다
2179|마녀
2180|캠핑
2181|웬일
2182|마디
2183|수익
2184|적당하다
2185|관찰하다
2186|휘두르다
2187|장군
2188|독일
2189|레벨
