Index|Korean|English
2급 문법 5과 9항 20단어|튀기다|to deep fry
2급 문법 5과 9항 21단어|꽂다|to stick (in/into)
2급 문법 5과 9항 22단어|끓이다|to boil or heat
2급 문법 5과 9항 23단어|다지다|to mince
2급 문법 5과 9항 24단어|두다|to put or place
2급 문법 5과 9항 25단어|버리다|to throw away
2급 문법 5과 9항 26단어|썰다|to cut or chop
2급 문법 5과 9항 27단어|찌다|to steam
2급 문법 5과 9항 2단어|냄비|pot
2급 문법 5과 9항 3단어|면|noodles
2급 문법 5과 9항 4단어|닭고기|chicken
2급 문법 5과 9항 5단어|당근|carrot
2급 문법 5과 9항 6단어|돼지고기|pork
2급 문법 5과 9항 7단어|버섯|mushroom
2급 문법 5과 9항 8단어|설렁탕|seolleongtang(beef and rice soup)
2급 문법 5과 9항 9단어|소스|sauce
2급 문법 6과 2항 1단어|비누|soap
2급 문법 6과 2항 2단어|생수|spring water
2급 문법 6과 2항 3단어|마트|market
2급 문법 6과 2항 4단어|이불|blanket
2급 문법 6과 2항 5단어|방석|sitting cushion
2급 문법 6과 2항 6단어|팔다|to sell
2급 문법 6과 3항 10단어|생활용품|living products
2급 문법 6과 3항 11단어|식료품|groceries
2급 문법 6과 3항 12단어|음료|beverage
2급 문법 6과 3항 13단어|치약|toothpaste
2급 문법 6과 3항 14단어|토마토|tomato
2급 문법 6과 3항 15단어|포스터|poster
2급 문법 6과 3항 1단어|감|persimmon
2급 문법 6과 3항 2단어|참외|Korean melon
2급 문법 6과 3항 3단어|칫솔|toothbrush
2급 문법 6과 3항 4단어|포도|grapes
2급 문법 6과 3항 5단어|햄|ham
2급 문법 6과 3항 6단어|냉동식품|frozen food
2급 문법 6과 3항 7단어|대회|conference or convention
2급 문법 6과 3항 8단어|배추|Chinese cabbage
2급 문법 6과 3항 9단어|소리|sound
2급 문법 6과 8항 1단어|할인|discount
2급 문법 6과 8항 2단어|매장|store
2급 문법 6과 8항 3단어|항상|always
2급 문법 6과 8항 4단어|세일하다|to be on sale; to have a sale
2급 문법 6과 8항 5단어|상품|products
2급 문법 6과 9항 10단어|장갑|gloves
2급 문법 6과 9항 11단어|패션잡화|fashion goods
2급 문법 6과 9항 12단어|핸드백|handbag
2급 문법 6과 9항 13단어|들다|to hold
2급 문법 6과 9항 14단어|쓰다|to use
